image_name,label
1,8
2,4
3,24
4,9
5,49
6,52
7,8
8,26
9,42
10,2
11,5
12,51
13,53
14,2
15,38
16,2
17,13
18,43
19,1
20,11
21,58
22,38
23,20
24,49
25,2
26,23
27,4
28,30
29,8
30,61
31,8
32,45
33,4
34,0
35,56
36,36
37,47
38,24
39,6
40,0
41,13
42,55
43,11
44,42
45,53
46,30
47,57
48,4
49,40
50,20
51,10
52,5
53,4
54,40
55,45
56,8
57,11
58,5
59,0
60,56
61,35
62,5
63,3
64,1
65,20
66,19
67,2
68,2
69,54
70,28
71,59
72,48
73,0
74,5
75,7
76,7
77,33
78,0
79,1
80,1
81,27
82,21
83,6
84,42
85,33
86,18
87,29
88,8
89,5
90,28
91,32
92,43
93,6
94,8
95,61
96,43
97,6
98,41
99,38
100,8
101,30
102,7
103,31
104,55
105,37
106,41
107,46
108,1
109,26
110,20
111,45
112,11
113,45
114,40
115,17
116,0
117,57
118,6
119,32
120,8
121,61
122,52
123,9
124,45
125,47
126,18
127,24
128,5
129,5
130,8
131,37
132,42
133,30
134,1
135,33
136,9
137,43
138,0
139,45
140,56
141,57
142,57
143,57
144,48
145,47
146,1
147,40
148,46
149,43
150,60
151,53
152,44
153,31
154,0
155,29
156,27
157,9
158,7
159,53
160,1
161,57
162,53
163,54
164,19
165,6
166,42
167,9
168,6
169,19
170,1
171,60
172,18
173,43
174,8
175,3
176,4
177,8
178,2
179,16
180,56
181,56
182,4
183,54
184,20
185,53
186,6
187,12
188,2
189,1
190,16
191,15
192,57
193,6
194,14
195,30
196,34
197,46
198,40
199,0
200,52
201,16
202,4
203,4
204,3
205,9
206,12
207,28
208,47
209,60
210,46
211,11
212,19
213,2
214,22
215,55
216,7
217,6
218,51
219,7
220,15
221,20
222,44
223,2
224,9
225,55
226,41
227,32
228,24
229,30
230,39
231,2
232,8
233,56
234,1
235,7
236,9
237,32
238,51
239,53
240,6
241,57
242,52
243,58
244,58
245,36
246,6
247,9
248,8
249,55
250,32
251,15
252,19
253,2
254,18
255,9
256,2
257,61
258,41
259,22
260,0
261,49
262,46
263,30
264,35
265,40
266,5
267,4
268,54
269,24
270,8
271,48
272,20
273,44
274,1
275,1
276,26
277,17
278,24
279,56
280,34
281,8
282,25
283,44
284,30
285,7
286,10
287,0
288,44
289,32
290,15
291,3
292,4
293,0
294,49
295,24
296,32
297,46
298,2
299,1
300,14
301,17
302,36
303,25
304,40
305,11
306,30
307,10
308,57
309,19
310,16
311,55
312,7
313,51
314,39
315,27
316,48
317,57
318,48
319,44
320,7
321,60
322,22
323,20
324,11
325,18
326,53
327,0
328,8
329,35
330,27
331,25
332,58
333,44
334,28
335,3
336,9
337,56
338,25
339,14
340,58
341,22
342,18
343,48
344,3
345,31
346,42
347,19
348,60
349,55
350,4
351,24
352,14
353,9
354,9
355,31
356,40
357,5
358,3
359,25
360,57
361,61
362,42
363,54
364,9
365,3
366,26
367,7
368,60
369,2
370,2
371,19
372,49
373,1
374,7
375,23
376,8
377,55
378,8
379,3
380,34
381,54
382,6
383,42
384,0
385,22
386,30
387,8
388,7
389,8
390,14
391,3
392,36
393,23
394,3
395,8
396,26
397,55
398,57
399,20
400,1
401,8
402,56
403,57
404,3
405,56
406,35
407,60
408,16
409,59
410,35
411,4
412,37
413,27
414,0
415,38
416,37
417,12
418,36
419,34
420,27
421,5
422,21
423,8
424,2
425,11
426,5
427,54
428,1
429,54
430,4
431,36
432,5
433,50
434,24
435,18
436,41
437,26
438,19
439,3
440,35
441,60
442,1
443,38
444,6
445,58
446,22
447,17
448,32
449,17
450,4
451,5
452,8
453,33
454,9
455,0
456,32
457,36
458,29
459,29
460,1
461,41
462,31
463,21
464,5
465,0
466,7
467,6
468,48
469,1
470,4
471,8
472,31
473,55
474,7
475,0
476,12
477,56
478,21
479,19
480,8
481,14
482,26
483,5
484,7
485,8
486,47
487,1
488,60
489,11
490,35
491,32
492,22
493,53
494,56
495,27
496,1
497,7
498,30
499,42
500,32
501,2
502,14
503,6
504,46
505,60
506,55
507,4
508,4
509,49
510,1
511,1
512,19
513,7
514,58
515,7
516,8
517,26
518,13
519,38
520,1
521,60
522,8
523,27
524,37
525,3
526,5
527,7
528,27
529,53
530,28
531,10
532,2
533,36
534,31
535,23
536,25
537,1
538,26
539,5
540,49
541,34
542,59
543,8
544,51
545,19
546,57
547,26
548,9
549,30
550,6
551,15
552,59
553,2
554,48
555,33
556,0
557,55
558,17
559,11
560,22
561,8
562,2
563,5
564,53
565,24
566,44
567,4
568,6
569,1
570,1
571,40
572,1
573,54
574,20
575,30
576,7
577,12
578,61
579,42
580,3
581,28
582,22
583,20
584,27
585,28
586,12
587,49
588,19
589,61
590,19
591,6
592,46
593,7
594,5
595,58
596,53
597,27
598,54
599,0
600,13
601,42
602,6
603,5
604,15
605,1
606,18
607,59
608,20
609,11
610,48
611,48
612,48
613,58
614,25
615,11
